Cereal,QFC_Wheat_Shredded_Wheat_Cereal,Target_Wheat_Cinnamon_Toast_Crunch,Whole_Foods_Wheat_Raisin_Bran,Costco_Oats_Oatmeal_Squares,QFC_Oats_Honey_N_Oats,Target_Oats_Oops_All_Berries,Whole_Foods_Oats_Cheerios_Honey_Nut ,QFC_Rice_Crispy_Rice_Cereal,Target_Rice_Organic Peanut Butter_Poppers,Costco_Corn_Frosted_Flakes,QFC_Corn_Corn_Flakes_Cereal,Whole_Foods_Corn_ Peanut_Butter_Cocoa,QFC_Oats_Honey_N_Oats,Target_Oats_Oops_All_Berries,Whole_Foods_Oats_Cheerios_Honey_Nut ,QFC_Rice_Crispy_Rice_Cereal,Target_Rice_Organic Peanut Butter_Poppers,Costco_Corn_Frosted_Flakes,QFC_Corn_Corn_Flakes_Cereal,Whole_Foods_Corn_ Peanut_Butter_Cocoa
Total Fat,1,4,1.5,2.5,2.5,1.5,2,0.5,3,0,0,2,2.5,1.5,2,0.5,3,0,0,2
Carbs,49,33,50,44,36,33,30,36,30,33,30,31,36,33,30,36,30,33,30,31
Fiber,6,2,7,5,3,1,3,0,3,1,1,2,3,1,3,0,3,1,1,2
Sugar(g),9,11,0,3,8,16,9,20,11,0,1,13,8,16,9,20,11,0,1,13
Protein(g),6,2,7,8,3,5,6,3,3,8,5,4,3,5,6,3,3,8,5,4
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
